column,mean_before_imputation,missing_values_imputed,lower_iqr_fence,upper_iqr_fence,outlier_values_capped
age,51.48337596,9,9.000000000,97.00000000,10
bp,76.46907216,12,55.00000000,95.00000000,36
bgr,148.0365169,44,27.50000000,223.5000000,53
bu,57.42572178,19,-25.12500000,113.8750000,41
sc,3.072454308,17,-2.358681462,6.331135770,44
sod,137.5287540,87,126.0000000,150.0000000,18
pot,4.627243590,88,2.800000000,6.000000000,14
hemo,12.52643678,52,5.250000000,20.25000000,2
pcv,38.88449848,71,19.00000000,59.00000000,6
wbcc,8406.122449,106,3337.500000,13037.50000,17
rbcc,4.707434944,131,3.600000000,6.000000000,75
